"2017-08-22 11:47:04 : Found  6901  addresses..."
"2017-08-22 11:47:04 :  OVER_QUERY_LIMIT  ( 6060+BUCKINGHAM+PKY,+Culver+City,+CA+90230 )"
"Using next key..."
"2017-08-22 11:50:04 :  ZERO_RESULTS  ( 200+NORTH+EMOLINA,+Alhambra,+CA+91801 )"
"2017-08-22 11:53:04 :  ZERO_RESULTS  ( 4349+PO+BOX,+Gillette,+WY+82717 )"
"2017-08-22 12:01:18 :  ZERO_RESULTS  ( 810+VISTA+CERA+RD,+PASO+ROBLES,+CA+90000 )"
"2017-08-22 12:01:24 :  ZERO_RESULTS  ( 25323+ALESSANDRO+BLVD,+Culver+City,+CA+92563 )"
"2017-08-22 12:03:28 :  ZERO_RESULTS  ( 3975+SOUTH+NORMANDIE+AVE,+Culver+City,+CA+90037 )"
"2017-08-22 12:05:00 :  ZERO_RESULTS  ( 5008+SOUTH+FIGUEROA+ST,+Culver+City,+CA+90037 )"
"2017-08-22 12:06:59 :  ZERO_RESULTS  ( 2169+CALLE+DE+PRINCIPAL,+MESILLA,+NM+88046 )"
"2017-08-22 12:08:21 :  ZERO_RESULTS  ( 2950+CHARCOAL+RD,+Culver+City,+CA+93446 )"
"2017-08-22 12:10:30 :  ZERO_RESULTS  ( 9724+BETTSWOOD+DR,+Huntington+Beach,+CA+90000 )"
"2017-08-22 12:11:16 :  ZERO_RESULTS  ( 9433+SISKIN+AVE,+San+Fernando+Valley,+CA+90000 )"
"2017-08-22 12:11:33 :  ZERO_RESULTS  ( 1604+FITZGERALD+RD,+Culver+City,+CA+93065 )"
"2017-08-22 12:12:17 :  ZERO_RESULTS  ( 10371+KIMBERLY+AVE,+Culver+City,+CA+90002 )"
"2017-08-22 12:14:22 :  ZERO_RESULTS  ( 6811+BLACKVIEW+RD,+Shingletown,+CA+96088 )"
"2017-08-22 12:16:50 :  ZERO_RESULTS  ( 1816+NORTH+GRAMERCY+AVE,+BEVERLY+HILLS,+CA+90210 )"
"2017-08-22 12:17:07 :  ZERO_RESULTS  ( 32300+SAN+TIMOTEO+CYN+SP,+RIVERSIDE,+CA+92373 )"
"2017-08-22 12:17:43 :  ZERO_RESULTS  ( 338+KAYBA+ST,+ROSWELL,+NM+88201 )"
"2017-08-22 12:17:59 :  OVER_QUERY_LIMIT  ( 6333+COLLEGE+GROVE+WAY,+San+Diego,+CA+92115 )"
"Using next key..."
"2017-08-22 12:18:09 :  ZERO_RESULTS  ( <UNKNOWN>+AVE+,+Inglewood,+CA+ )"
"2017-08-22 12:18:16 :  ZERO_RESULTS  ( 4300+SOUTH+CHEASTLY+AVE,+Los+Angeles,+CA+90027 )"
"2017-08-22 12:21:29 :  ZERO_RESULTS  ( 7968+DEGARMO+AVE,+SUN+VALLEY,+CA+91352 )"
"2017-08-22 12:22:15 :  ZERO_RESULTS  ( 338+KAYBA+ST,+ROSWELL,+NM+88201 )"
"2017-08-22 12:22:31 :  ZERO_RESULTS  ( 13686+DEGARMO+AVE,+SYLMAR,+CA+91342 )"
"2017-08-22 12:23:08 :  ZERO_RESULTS  ( 6039+HACKAMORE+LN,+Tustin,+CA+92807 )"
"2017-08-22 12:23:13 :  ZERO_RESULTS  ( 1411+SOUTH+BURLINGTON+AVE,+Culver+City,+CA+90006 )"
